year,company,industry,결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PBR,부채율,매출증가,영익률,지배ROE,매출이익
15,GS리테일,유통,15년06월(2Q),46700,17193,15679,696,525,1846,22329,2.09,81.27,25.44,4.44,12.41,19.72
15,GS리테일,유통,15년03월(1Q),33400,16666,13248,397,310,450,21644,1.54,77.39,17.1,3,7.41,21.45
14,GS리테일,유통,14년12월(4Q),25650,16815,12509,335,227,780,21838,1.17,73.66,6.49,2.68,5.43,21.54
14,GS리테일,유통,14년09월(3Q),26050,16684,13302,549,431,956,21667,1.2,76.13,4.77,4.13,10.47,21.85
14,GS리테일,유통,14년06월(2Q),24750,16253,12499,422,340,1283,21108,1.17,75.49,6.69,3.38,8.46,21.82
14,GS리테일,유통,14년03월(1Q),26950,15916,11313,127,114,666,20670,1.3,76.06,3.53,1.12,2.86,21.49
13,GS리테일,유통,13년12월(4Q),28000,16146,11747,379,280,27,20969,1.34,78.38,13.17,3.23,7.01,22.28
13,GS리테일,유통,13년09월(3Q),31400,15849,12696,597,463,448,20583,1.53,80.56,6.28,4.7,11.86,22.8
13,GS리테일,유통,13년06월(2Q),29300,15387,11715,448,330,1269,19983,1.47,87.28,6.72,3.82,8.66,22.92
13,GS리테일,유통,13년03월(1Q),29500,15054,10927,126,117,1201,19551,1.51,89.59,4.35,1.15,3.1,22.1
12,GS리테일,유통,12년12월(4Q),29950,15245,10380,295,244,-305,19798,1.51,91.14,0.37,2.84,6.44,23.71
12,GS리테일,유통,12년09월(3Q),30200,15063,11946,591,498,1101,19562,1.54,99.58,9.47,4.95,13.45,23.22
12,GS리테일,유통,12년06월(2Q),23900,14565,10978,409,334,867,18916,1.26,108.34,11.94,3.72,9.28,22.92
12,GS리테일,유통,12년03월(1Q),23550,14232,10472,110,158,552,18483,1.27,123.11,19.62,1.05,4.44,20.83
19,iMBC,방송사,19년09월(3Q),2270,534,138,9,11,42,2271,1,21.47,0.99,6.78,8.99,100
19,iMBC,방송사,19년06월(2Q),2620,524,133,3,4,-10,2222,1.18,20.71,-6.59,2.29,2.77,100
19,iMBC,방송사,19년03월(1Q),2645,520,121,6,4,57,2206,1.2,19.57,-18.39,0.28,2.65,100
18,iMBC,방송사,18년12월(4Q),2255,513,153,3,-17,2,2180,1.03,21.8,-4.13,1.72,-14.58,100
18,iMBC,방송사,18년09월(3Q),2950,530,137,6,-5,13,2263,1.3,22.11,3.98,4.26,-3.01,100
18,iMBC,방송사,18년06월(2Q),3190,536,142,1,1,1,2286,1.4,21.36,1.85,1.03,0.77,100
18,iMBC,방송사,18년03월(1Q),3175,528,148,-1,4,-3,2251,1.41,19.68,3.87,-0.37,3.66,100
17,iMBC,방송사,17년12월(4Q),3290,524,160,7,4,71,2233,1.47,24.86,-19.75,4.19,3.43,100
17,iMBC,방송사,17년09월(3Q),3055,516,132,-7,-7,-29,2200,1.39,22.61,-23.49,-5.58,-5.21,100
17,iMBC,방송사,17년06월(2Q),3680,525,140,1,-0.666666666666667,36,2234,1.65,20.78,-14.39,0.44,0.49,100
17,iMBC,방송사,17년03월(1Q),3845,525,143,1,1,-47,2233,1.72,22.87,3.58,1.02,0.42,100
16,iMBC,방송사,16년12월(4Q),3820,535,199,8,-6,73,2277,1.68,32.5,1.21,3.83,-4.81,100
16,iMBC,방송사,16년09월(3Q),4135,547,172,8,21,11,2332,1.77,25.63,13.04,4.82,18.44,100
16,iMBC,방송사,16년06월(2Q),4250,527,163,-4,-9,67,2233,1.9,37.31,21.09,-2.62,-5.91,100
16,iMBC,방송사,16년03월(1Q),4235,529,138,7,12,25,2249,1.88,24.09,-14.31,5.42,10.51,100
15,iMBC,방송사,15년12월(4Q),4680,524,197,-3,-4,-8,2220,2.11,30.57,-1.53,-1.68,-1.49,100
15,iMBC,방송사,15년09월(3Q),4470,528,152,1,3,-26,2231,2,32.64,31.39,0.93,3.69,100
15,iMBC,방송사,15년06월(2Q),5230,525,135,5,6,8,2207,2.37,27.03,9.23,3.45,4.82,100
15,iMBC,방송사,15년03월(1Q),4610,521,161,3,5,-33,2188,2.11,37.49,48.57,1.62,4.54,100
14,iMBC,방송사,14년12월(4Q),4100,520,200,10,7,102,2167,1.89,42.97,-7.60333333333333,4.84,3.7,100
14,iMBC,방송사,14년09월(3Q),4525,499,116,2,6,-19,2172,2.08,33.26,-3.29,1.31,4.69,100
14,iMBC,방송사,14년06월(2Q),4640,495,123,4.33333333333333,4,-12,2152,2.16,34.1,-1.27,-0.34,3.46,100
14,iMBC,방송사,14년03월(1Q),5950,485,108,1,4,-16,2109,2.82,34.6,-18.25,0.63,2.95,100
13,iMBC,방송사,13년12월(4Q),3995,491,141,8,8,48,2134,1.87,37.72,5.12,5.99,6.74,100
13,iMBC,방송사,13년09월(3Q),4440,484,120,8,9,15,2104,2.11,25.92,14.12,6.72,7.73,100
13,iMBC,방송사,13년06월(2Q),4215,474,125,9,6,16,2063,2.04,28.01,0.62,7.36,5.37,100
13,iMBC,방송사,13년03월(1Q),5920,473,132,10,9,20,2058,2.88,29.8,3.89,7.46,8.03,100
12,iMBC,방송사,12년12월(4Q),5080,471,134,6,5,27,2049,2.48,25.75,-6.68,4.46,3.98,100
12,iMBC,방송사,12년09월(3Q),6540,471,105,3,6,-70,2046,3.2,21.7,-36.31,2.8,5.27,100
12,iMBC,방송사,12년06월(2Q),7000,458,124,8,12,57,1990,3.52,39.46,-7.04,6.72,10.21,100
12,iMBC,방송사,12년03월(1Q),5120,445,127,9,10,56,1937,2.64,33,27.92,6.89,9.16,100
19,JYP Ent.,음악,19년09월(3Q),21550,1570,456,148,117,136,4666,4.62,23.52,34.46,32.38,31.88,51.23
19,JYP Ent.,음악,19년06월(2Q),23900,1438,392,94,69,153,4293,5.57,22.55,24.08,24.06,20.01,43.66
19,JYP Ent.,음악,19년03월(1Q),30800,1361,264,58,63,51,4094,7.52,22.77,14.53,21.95,19.82,46.19
18,JYP Ent.,음악,18년12월(4Q),30250,1280,363,99,84,72,3930,7.7,24.52,5.91,27.11,27.73,44.21
18,JYP Ent.,음악,18년09월(3Q),37100,1120,339,85,67,59,3583,10.36,24.54,93.94,24.95,24.25,44.71
18,JYP Ent.,음악,18년06월(2Q),26400,1046,316,91,73,87,3389,7.79,26.97,10.64,28.73,30.54,48.27
18,JYP Ent.,음악,18년03월(1Q),23150,873,230,14,19,5,2905,7.97,39.31,5.01,5.95,8.59,42.16
17,JYP Ent.,음악,17년12월(4Q),13750,858,343,76,57,127,2859,4.81,45.09,33.5,22.19,27.05,40.25
17,JYP Ent.,음악,17년09월(3Q),9990,795,175,11,10,-15,2691,3.71,29.92,-8.1,6.33,4.82,32.01
17,JYP Ent.,음악,17년06월(2Q),8950,777,285,69,68,108,2651,3.38,32.94,59.04,24.29,36.88,42.74
17,JYP Ent.,음악,17년03월(1Q),5400,703,219,38,29,50,2463,2.19,28.29,99.56,17.39,17.2,35.02
16,JYP Ent.,음악,16년12월(4Q),4925,670,257,57,14,63,2366,2.08,29.13,42.28,22.28,8.06,40.87
16,JYP Ent.,음악,16년09월(3Q),5060,659,190,36,33,5,2334,2.17,22.14,43.3,18.85,19.99,33.87
16,JYP Ent.,음악,16년06월(2Q),6120,631,179,38,29,55,2253,2.72,27.43,52.69,21.28,19.01,37.99
16,JYP Ent.,음악,16년03월(1Q),5050,597,110,7,10,31,2154,2.34,28.58,47.03,6.2,6.53,32.43
15,JYP Ent.,음악,15년12월(4Q),4580,588,181,17,15,51,2129,2.15,25.97,-9.37,9.58,9.84,30.44
15,JYP Ent.,음악,15년09월(3Q),4190,583,133,17,16,16,2114,1.98,14.7,10.4,12.6,11.65,32.07
15,JYP Ent.,음악,15년06월(2Q),4935,554,117,8,10.6666666666667,-12,2032,2.43,20.76,30.83,6.91,0.31,27.93
15,JYP Ent.,음악,15년03월(1Q),4995,558,75,14,1,-6,2043,2.45,22.9,-1.01,-0.22,0.52,34.91
14,JYP Ent.,음악,14년12월(4Q),4165,560,199,65,57,49,2047,2.03,32.05,51.58,32.72,41.5,45.51
14,JYP Ent.,음악,14년09월(3Q),4620,519,120,9,10,-5,1930,2.39,35.95,375.36,7.41,7.83,29.48
14,JYP Ent.,음악,14년06월(2Q),4450,493,90,5,2,13,1852,2.4,38.75,216.61,5.7,1.77,31.25
14,JYP Ent.,음악,14년03월(1Q),5750,481,75,3,9,27,1819,3.16,36.05,168.81,4.38,8.01,38.27
13,JYP Ent.,음악,13년12월(4Q),4500,467,132,11,-13.3333333333333,-13,1777,2.53,47.75,51.94,8.46,3.22,40.67
13,JYP Ent.,음악,13년09월(3Q),5110,102,25,-14,-13,-22,419,12.2,124.38,-18.69,-53.84,-46.42,33.31
13,JYP Ent.,음악,13년06월(2Q),5900,115,28,-14,-16,-1,469,12.57,116.36,35.27,-48.22,-54.69,32.33
13,JYP Ent.,음악,13년03월(1Q),4380,132,28,-9,-11,4,547,8.01,98.6,133.11,-33.38,-28.75,41.64
